catalog_id,obs_group,filter,target_bp_rp,comp_bp_rp_min,comp_bp_rp_max,presel_in_range,n_comp_used,c1,c1_stderr,stderr_ratio,gate_would_pass_min7,ct_ok,gate_bucket,gate_reason
598955561913661440,Green_60_1,Green,1.0257549285888672,0.8901500701904297,1.163644790649414,True,5,-0.4058707023700408,0.4810905783702562,1.1853296519334275,False,False,b_count,Filter Green — CT preskočený: málo COMP (5 < 7)
604924570021956608,Green_60_1,Green,0.968759536743164,0.8901500701904297,1.0057106018066406,True,-1,,,,False,False,b_count,Filter Green — CT preskočený: málo COMP (-1 < 7)
598694664123868416,Green_60_1,Green,0.6360435485839844,0.5397787094116211,0.750579833984375,True,-1,,,,False,False,b_count,Filter Green — CT preskočený: málo COMP (-1 < 7)
605008682661424384,Green_60_1,Green,,0.5397787094116211,2.056389808654785,False,0,0.0,,,False,False,a_fit_starved,Filter Green — CT preskočený: málo COMP (0 < 7)
604950683423073024,Green_60_1,Green,0.6213474273681641,0.5397787094116211,0.750579833984375,True,-1,,,,False,False,b_count,Filter Green — CT preskočený: málo COMP (-1 < 7)
604917663716360576,Green_60_1,Green,,0.6315431594848633,0.8901500701904297,False,0,0.0,,,False,False,a_fit_starved,Filter Green — CT preskočený: málo COMP (0 < 7)
604920756091231744,Green_60_1,Green,1.2351999282836914,1.1147232055664062,1.297348976135254,True,-1,,,,False,False,b_count,Filter Green — CT preskočený: málo COMP (-1 < 7)
598895398010754432,Green_60_1,Green,0.793828010559082,0.7224149703979492,0.8654661178588867,True,-1,,,,False,False,b_count,Filter Green — CT preskočený: málo COMP (-1 < 7)
598890862525288192,Green_60_1,Green,0.8536605834960938,0.7224149703979492,0.8216876983642578,True,-1,,,,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (-1 < 7)
598889625574643456,Green_60_1,Green,3.112721443176269,0.8070583343505859,0.9395265579223632,False,5,-0.8636128909257288,0.4706756073380282,0.5450076212196173,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (5 < 7)
604988891451223936,Green_60_1,Green,2.8723669052124023,0.7376613616943359,1.1376008987426758,False,5,-0.7814969885999511,0.2961423725497836,0.3789424359527239,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (5 < 7)
604900586924769024,Green_60_1,Green,2.8273696899414062,0.7419872283935547,1.0295095443725586,False,-1,,,,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (-1 < 7)
598895363651012352,Green_60_1,Green,2.72762393951416,0.8070583343505859,1.1482305526733398,False,7,-0.6787177326873829,0.1205445273329588,0.1776062736060582,True,False,d_extrapolation,"Filter Green — CT aplikovaný: c1=-0.6787 ± 0.1205 (stderr/c1=0.18, n_comp=7)"
604942879467202816,Green_60_1,Green,2.7236928939819336,0.7723474502563477,1.0295095443725586,False,-1,,,,False,False,d_extrapolation,Filter Green — CT preskočený: málo COMP (-1 < 7)
