filter,catalog_id,bp_rp,in_range,ct_ok,ct_corr,scatter_pre,scatter_post
B,458566756192517504,0.4407634735107422,True,True,0.12689958632018825,0.02626342997574584,0.02626342997574584
B,458573250185368704,1.875701904296875,True,True,-1.4403149397932677,0.028498052523041953,0.028498052523041953
B,458534080080531200,3.6518802642822266,False,False,0.0,0.06263355433785013,0.06263355433785013
B,458564522809558272,3.5643978118896484,False,False,0.0,,
B,458409800908027520,3.274508476257324,False,False,0.0,0.06600126008163501,0.06600126008163501
B,458463264662601984,3.116692543029785,False,False,0.0,,
B,458532293374182656,3.0636978149414062,False,False,0.0,,
V,458435983029377152,0.6390390396118164,True,True,-0.009616186802202002,0.03525017267484022,0.03525017267484022
V,458342112224888064,0.2694149017333984,True,True,0.1369903769854878,0.033516567866323364,0.033516567866323364
V,458409869627124736,0.6317653656005859,True,True,-0.006731179456580309,0.03376801886131558,0.03376801886131558
V,458412274808691712,0.6407241821289062,True,True,-0.010284576467825907,0.038019382455970384,0.038019382455970384
V,458374857056235520,0.7501058578491211,True,True,-0.05366938274894299,0.03904161863106251,0.03904161863106251
V,458408804475281024,0.729090690612793,True,True,-0.045333992442384764,0.03427152053554371,0.03427152053554371
V,458569298815368064,0.584442138671875,True,True,0.012038957491687636,0.03992074227795299,0.03992074227795299
V,458367297913936896,0.7195148468017578,True,True,-0.04153585965657286,0.03811830657984633,0.03811830657984633
V,458364686573954944,0.3121652603149414,True,True,0.12003400825831016,0.039882054261930054,0.039882054261930054
V,458414027155398272,0.7813806533813477,True,True,-0.06607411998407053,0.03426569461099913,0.03426569461099913
V,458401417131679744,0.7215909957885742,True,True,-0.04235933690731606,0.033681706392005545,0.033681706392005545
V,458377708914487168,0.4464693069458008,True,True,0.06676407060665006,0.04086909695712553,0.04086909695712553
V,458374822697357696,0.5115833282470703,True,True,0.040937448535454,0.03586657462028457,0.03586657462028457
V,458368672303402112,0.5207576751708984,True,True,0.037298564221191426,0.03886174886073926,0.03886174886073926
V,458537790932206720,0.8556461334228516,True,True,-0.09553054807186365,0.04243518645802424,0.04243518645802424
V,458371558521435904,0.4682464599609375,True,True,0.05812644864031056,0.04151148797476159,0.04151148797476159
V,458566756192517504,0.4407634735107422,True,True,0.06902721456218362,0.037689841427241674,0.037689841427241674
V,458415916940933248,1.0364456176757812,True,True,-0.16724229090622206,0.03771534041271497,0.03771534041271497
V,458371695960360576,0.7609844207763672,True,True,-0.057984221976884076,0.0370210991818015,0.0370210991818015
V,458371283643256320,0.4143819808959961,True,True,0.07949108740890355,0.03706083478051709,0.03706083478051709
V,458455185816111872,0.5133390426635742,True,True,0.04024106745202807,0.03610445493151104,0.03610445493151104
V,458378224310529664,0.4008979797363281,True,True,0.084839339521103,0.04169125738598241,0.04169125738598241
V,458411480228899584,0.8426370620727539,True,True,-0.09037067063622375,2.2394673710538426,2.2394673710538426
V,458379907937649920,0.4532489776611328,True,True,0.06407500318564249,0.03705090987094858,0.03705090987094858
V,458534080080531200,3.6518802642822266,False,False,0.0,0.043807985130273584,0.043807985130273584
V,458564522809558272,3.5643978118896484,False,False,0.0,0.07566620198604135,0.07566620198604135
V,458409800908027520,3.274508476257324,False,False,0.0,0.05562058998739111,0.05562058998739111
V,458463264662601984,3.116692543029785,False,False,0.0,0.06873702753622041,0.06873702753622041
V,458532293374182656,3.0636978149414062,False,False,0.0,,
