source_id,ra,dec,phot_g_mean_mag,bp_rp,x,y,blended,must
1403785635219591168,240.26595235283648,51.57318893921857,11.522379,1.4060459,1289.0143190167964,212.59605569024126,True,True
1400138245913434496,241.21242728108425,48.87172474658724,11.965963,1.2611532,1064.937818807117,1209.5714195541082,True,True
1403901629400693376,241.4354885260574,51.92258355325058,11.971774,1.075263,1022.9231437412649,82.22756262066287,False,True
1403869816578972160,240.86901344526692,51.59352412424091,12.079043,1.2543621,1151.1144998829723,204.9598276959485,True,True
1403342871335024896,239.19802198783384,50.50830008146707,12.251529,0.91915417,1540.9033099515875,603.3791312639839,True,True
1400519329771326976,242.29347712259002,50.30604533922274,12.407804,1.0665026,815.0309724363033,675.5051213168725,True,True
1403306209495294720,238.75748703532517,50.11460024244151,12.421195,1.1905661,1647.685968069886,746.6836421254005,True,True
1403032641553432576,238.95254775752295,49.30486805125189,12.879711,0.79316044,1608.4066832565877,1046.7891881746386,True,True
1403201966344339200,238.03979574682552,49.68010004414144,13.163586,0.8038788,1822.7000051179175,902.4304193170728,True,True
1400032830235584128,240.14498629971882,49.28335301440718,13.218198,0.66205883,1322.298889463428,1058.2307302293386,True,True
1403835074587136000,239.99515698672639,51.61145631121009,9.302605,1.1966982,1350.830440814002,198.14057483749895,False,True
1403464474745338624,240.32065101746454,50.29807160424085,9.723411,0.7373142,1278.5246107924784,683.5970264164189,True,True
1404278319508397824,238.24184687433961,51.97960699806038,9.954062,0.20680904,1747.2729046754075,54.458162211469016,False,True
1402914650211952640,238.41613494674854,48.84782722000786,10.685575,1.0793743,1742.203451337141,1212.6236185926207,False,True
1400271527338499200,242.14206545102874,49.53107891164514,10.705347,0.6382332,844.8528403036019,962.4508514404513,False,True
1424604750453125632,243.42769842034434,51.333034205170286,10.73773,0.82240105,562.7558693372947,287.91434514152746,False,True
1399477022811768832,242.96808111486862,49.23923905045839,10.9136715,1.1855698,644.3121116252555,1064.7181569875174,True,True
1423539873441307392,244.4871140696965,50.180549882289,11.550669,1.0837994,297.4026895843599,701.6020850731765,False,True
1403251478727403776,237.12376821793913,49.848721590567514,11.703565,0.78818893,2038.054254276809,831.7123669852384,True,True
1424558089928336896,243.08010526321877,50.79293544133434,11.773261,1.3155785,636.1267271966088,490.3060771219979,False,True
1402941931844190720,237.5623542404487,48.567822273253235,11.836248,1.3134766,1953.4136152760498,1309.3766578405564,False,True
1424628248217961216,243.05595972416475,51.31499685430979,11.9927025,0.8233299,647.9676015241273,297.78108418765487,True,True
1423495132765749760,243.49296135726314,49.50251681898469,12.261347,0.76053905,521.9707254655086,962.9054185692419,False,True
1403586142579202560,241.63543956875532,50.81656013795992,12.552868,1.0239964,972.1147575911016,490.09812874956856,True,True
1424690546719292416,244.04802102979312,51.413242276844045,12.6225395,0.7399063,421.5570688338545,251.98888996892947,False,True
1400078253810532096,241.11323562238783,48.5706613026647,12.6497755,0.78409576,1088.242149465892,1321.0452108510567,False,True
1402927535113873408,238.3815273624049,48.92774782010536,12.77922,1.1479473,1749.6966686906414,1182.8587711372998,False,True
1403104144169094656,238.6415768271702,49.74787257820973,13.370696,1.0723381,1678.671342083911,881.4815848040422,False,True
1423205828064807168,245.19264638126273,49.16497527683526,9.186228,1.134409,108.39797968336381,1066.4792520992717,False,True
1399190707407939328,243.8026294889288,48.50131792656327,9.72018,1.3271523,432.3623856233371,1329.4272731337878,False,True
1404146240673982464,237.8096347776233,50.79605532383778,9.756014,1.1814413,1861.9083151132445,488.3841353657465,False,True
1423459849610967040,244.34332226382529,49.507098801795266,10.113035,0.61656475,318.9462582670948,951.8802927000993,False,True
1403355966691353856,239.05325816463687,50.57395623560749,10.2704115,1.3403664,1574.2711675890039,578.5066114792558,False,True
1423425318073918720,243.81371210087607,49.162703387020876,10.367382,0.96084976,440.03272643261585,1085.086025564011,True,True
1424414706739915264,244.92085697096002,50.811101907684495,10.563455,0.86068726,208.59129821671172,463.20187626335985,False,True
1403352358918805248,238.72064639848338,50.50677029655642,10.859255,0.69463444,1652.6579674559684,601.6371788902372,False,True
1403821055814486272,239.36141909262386,51.60274387233425,11.60247,0.94108105,1495.7361490328149,199.71936443550845,True,True
1403433447901404928,238.74518074784302,51.162082991539584,11.844752,0.706789,1640.771200577763,359.7218260375489,False,True
1400343781572357376,240.43560213872757,49.113766619783135,11.858413,0.751318,1252.7135872075874,1121.0436722517495,False,True
1403272674389536512,237.64313272381807,50.06357315066688,12.14664,1.0490332,1911.526129592934,757.4654860976531,True,True
1403747525974384640,239.58262380694427,51.084301257052765,12.178841,0.662694,1447.8774180048422,391.96858665383803,True,True
1403138125950318208,239.27202699808421,50.090940168534964,12.251729,0.82985973,1526.4069917932993,757.8146628139727,False,True
1403414236511605248,238.7879739901384,50.918440866749215,12.283179,0.64208984,1633.124926343261,449.9545495695984,True,True
1424457587693403904,245.13385361222402,51.14666139104518,12.342357,0.8637171,166.54570183501767,336.369358772128,True,True
1403078541867842048,239.58889884851445,49.86591159749619,12.470851,1.2323761,1452.7639352208894,841.9796919728498,True,True
1403167847124156672,237.5420397151581,49.37292804360839,12.498543,0.82501125,1946.0149923165895,1011.6531967231349,False,True
1403364109949296640,238.0832520358084,50.145275875464954,12.575279,0.6598711,1806.4613730874025,730.9458089158679,True,True
1403715335195586304,241.78298948206756,51.97614244033133,12.582204,1.7754908,944.3663289576758,61.238196230663334,True,True
1399914731519637760,238.83338567092517,48.80055948113588,12.858872,0.94738007,1641.5187641873417,1232.542500127157,True,True
1404049036974475392,237.53181043905343,50.58011678992589,12.925272,0.39247417,1929.8964073191487,565.6640992976572,False,True
1403765672211652352,240.19961545403214,51.280317859489536,13.238479,1.1829758,1304.826499662482,320.737651430094,False,True
1424599940089744768,243.4664703222195,51.20076319457444,13.330401,0.5099945,551.9996312454235,336.3824318991826,True,True
1403905344548484352,241.43721880509668,52.01962307700323,9.718151,0.71765804,1022.9122578339874,46.36228273662425,False,True
1403509451642824192,239.6807393259124,50.26258284599023,9.890265,0.6635952,1429.0965129379774,695.7255096847003,False,True
1424390139526931456,243.6817163245689,50.865934481586116,10.401724,1.1218319,497.3656674277029,457.87569757967583,False,True
1427658025523999488,242.70468297670737,51.76947613716107,10.404665,0.5612297,733.359655199926,132.57420467344411,False,True
