target_catalog_id,target_vsx_name,catalog_id,inst_mag,sigma_iqr,inv_nv,spike,locus_sigma_iqr,locus_spread,n_frames,thr_inv_nv,FLAG,flag_reason
458302632884676480,Gaia DR3 458302632884676480,458357367949572736,-8.171033625663405,0.026923975323799695,0.5344108446915908,1.274186683243196,0.023045796948145104,0.01044701843450638,12,1.4495758068000197,False,
458302632884676480,Gaia DR3 458302632884676480,458362659349112704,-8.162403928629127,0.031912784925135156,0.5564772425175964,0.833815853291227,0.023164922860932698,0.010474495051186786,12,1.4495758068000197,False,
458305244224911744,Gaia DR3 458305244224911744,458357471028756864,-8.956942352985632,0.0092863736162781,0.8480939608635666,1.22340901824736,0.011245162357087668,0.004186462563241786,12,1.2062607817155517,False,
458305244224911744,Gaia DR3 458305244224911744,458359493944675968,-9.372155238357337,0.006871847749502431,0.5389149872847564,1.2047979916503528,0.008839235426464951,0.0033476273241988003,12,1.2062607817155517,False,
458305244224911744,Gaia DR3 458305244224911744,458403027733301248,-9.518256663212396,0.00796492733146213,0.5653074377969846,1.433603581366238,0.00832872043686582,0.0031129661537475936,12,1.2062607817155517,False,
458305244224911744,Gaia DR3 458305244224911744,458404505202051968,-9.725192897327254,0.004994064074777267,0.37025171303400517,1.1840776701445022,0.007605633379284869,0.0027805950016227487,12,1.2062607817155517,False,
458305244224911744,Gaia DR3 458305244224911744,458405196702890752,-9.385514131150375,0.0045889377401662195,0.45662528355382487,1.5342537178037203,0.00879255610747775,0.0033261709049896356,12,1.2062607817155517,False,
458305244224911744,Gaia DR3 458305244224911744,458406158775439616,-8.92958621441649,0.009512880132581187,0.6826103722697114,1.5244870688840655,0.011429904673639581,0.004246450829682374,12,1.2062607817155517,False,
458305244224911744,Gaia DR3 458305244224911744,458406498066869760,-9.400379518449785,0.008904752040218056,0.34150374777171655,1.0386244733203225,0.008740612719176956,0.003302294825845638,12,1.2062607817155517,False,
458305244224911744,Gaia DR3 458305244224911744,458453506490773120,-9.89779662917168,0.003459907520637411,0.5334429662671085,2.05311199596894,0.0073391996871375225,0.002731857813685874,12,1.2062607817155517,False,
458305450383338368,Gaia DR3 458305450383338368,458307202729952256,-8.595583079690133,0.03138634124243183,0.36059526221901983,0.7657369855000647,0.015518873387857776,0.006355933879584679,12,0.8708548573354591,False,
458305450383338368,Gaia DR3 458305450383338368,458309264304541440,-8.77000050342282,0.023824023212259827,0.43339579100302605,0.9196174223403929,0.012507623806515008,0.0045964004443548945,12,0.8708548573354591,False,
458305450383338368,Gaia DR3 458305450383338368,458351148836990080,-7.653209645130568,0.033431206881347326,0.5018962075104575,0.8898135423536215,0.03207039322995908,0.012361607237462591,12,0.8708548573354591,False,
