frame,mjd,source_id,flux_net,flux_net_small,bkg
proc_V842_Her_Light_001.fits,61160.8951534838,1401651792388074240,53802.94482180971,8207.22082548916,4020.07275390625
proc_V842_Her_Light_001.fits,61160.8951534838,1403005050683652608,56130.889711783966,13148.663895515376,4017.195068359375
proc_V842_Her_Light_001.fits,61160.8951534838,1424569428642017664,53380.66574110545,37080.88831728202,3937.031982421875
proc_V842_Her_Light_001.fits,61160.8951534838,1423532039421321728,110184.50911040191,89791.45337941407,3995.656982421875
proc_V842_Her_Light_001.fits,61160.8951534838,1403355966691353856,50595.991978020524,28462.622166531568,3896.657958984375
proc_V842_Her_Light_001.fits,61160.8951534838,1427687368740585472,50414.76649276196,31658.564766427735,3873.730224609375
proc_V842_Her_Light_001.fits,61160.8951534838,1403128436504439552,58935.28499710938,37449.01626636699,3962.2628173828125
proc_V842_Her_Light_001.fits,61160.8951534838,1403021852595567872,54388.81196438748,21318.52268579643,4060.67333984375
proc_V842_Her_Light_001.fits,61160.8951534838,1402882764374678400,46569.83079628437,6151.111265254978,4103.339599609375
proc_V842_Her_Light_001.fits,61160.8951534838,1427679603439614336,47728.71175045066,30792.775117737532,3875.236328125
proc_V842_Her_Light_001.fits,61160.8951534838,1424370245238714368,57885.856733297755,44658.28169895934,3947.6019287109375
proc_V842_Her_Light_001.fits,61160.8951534838,1399968233927428608,59009.840949500096,28233.65385982985,4071.01171875
proc_V842_Her_Light_001.fits,61160.8951534838,1403170080507149568,36313.95497510198,8929.833035230127,3988.8564453125
proc_V842_Her_Light_001.fits,61160.8951534838,1400502493499502848,49875.56113140733,36289.71563438956,3989.60498046875
proc_V842_Her_Light_001.fits,61160.8951534838,1403092255699592960,46881.04167770775,16557.094725250936,4011.761962890625
proc_V842_Her_Light_001.fits,61160.8951534838,1424676871544027520,45665.53504620469,29929.267768109683,3893.789794921875
proc_V842_Her_Light_001.fits,61160.8951534838,1424396354343687808,55846.639455088356,39341.727203875635,3930.16357421875
proc_V842_Her_Light_001.fits,61160.8951534838,1400405118000790656,52717.57438362361,38950.41236801274,3988.3861083984375
proc_V842_Her_Light_001.fits,61160.8951534838,1424682472181707904,44260.53041654406,26219.26336657512,3878.18505859375
proc_V842_Her_Light_001.fits,61160.8951534838,1424390139526931456,46929.269521025184,33666.65864933979,3948.845458984375
proc_V842_Her_Light_001.fits,61160.8951534838,1427658025523999488,54512.41727163526,40122.22331740637,3887.542724609375
proc_V842_Her_Light_001.fits,61160.8951534838,1424356638781940608,47271.43125572655,35587.70627025759,3966.28564453125
proc_V842_Her_Light_001.fits,61160.8951534838,1402910595762821888,38454.590026193706,4028.674129350082,4096.6123046875
proc_V842_Her_Light_001.fits,61160.8951534838,1424445493065918848,53404.92464362021,27694.528249053998,3907.5460205078125
proc_V842_Her_Light_001.fits,61160.8951534838,1400187513481463552,43283.01890314341,24626.22017525423,4041.1810302734375
proc_V842_Her_Light_001.fits,61160.8951534838,1404119577517815424,49132.91175754974,23538.85213871175,3831.666748046875
proc_V842_Her_Light_001.fits,61160.8951534838,1400298980769110912,44276.661731733824,32757.152878653244,4007.7532958984375
