frame,mjd,source_id,flux_sep_small,flux_sep_big
proc_V842_Her_Light_007.fits,61160.90355625,1424686904587024384,28218.88309570313,37045.41004882814
proc_V842_Her_Light_007.fits,61160.90355625,1403386787376640128,29475.355087890628,38376.29875
proc_V842_Her_Light_007.fits,61160.90355625,1427683554809600896,25776.846279296875,32633.767988281248
proc_V842_Her_Light_007.fits,61160.90355625,1423536059510326528,24596.045537109374,33135.04089843752
proc_V842_Her_Light_007.fits,61160.90355625,1400094505966392704,32903.55112304688,41607.31568359375
proc_V842_Her_Light_007.fits,61160.90355625,1424832177561040256,27372.478349609377,33457.07788085939
proc_V842_Her_Light_007.fits,61160.90355625,1423516852416948224,29344.716923828124,36649.36533203125
proc_V842_Her_Light_007.fits,61160.90355625,1403352358918805248,28133.618417968755,36468.014736328136
proc_V842_Her_Light_007.fits,61160.90355625,1403309993361336448,25052.253007812502,33568.788232421866
proc_V842_Her_Light_007.fits,61160.90355625,1404060753645275648,23661.830263671876,34450.59184570314
proc_V842_Her_Light_007.fits,61160.90355625,1424429069110587008,29892.17296875,36737.34257812499
proc_V842_Her_Light_007.fits,61160.90355625,1424759880375940480,28029.003115234373,35559.66242187501
proc_V842_Her_Light_007.fits,61160.90355625,1424356432623507328,27378.910097656248,35474.09300781251
proc_V842_Her_Light_007.fits,61160.90355625,1400175388790551296,27599.205117187503,38352.51723632812
proc_V842_Her_Light_007.fits,61160.90355625,1403508627009166464,26739.431210937502,35942.18416015625
proc_V842_Her_Light_007.fits,61160.90355625,1423659926367546496,17750.799287109377,25407.08428710938
proc_V842_Her_Light_007.fits,61160.90355625,1427681768103141632,25966.155683593744,33694.822109374996
proc_V842_Her_Light_007.fits,61160.90355625,1403392525452934656,27040.088310546875,34861.57773437499
proc_V842_Her_Light_007.fits,61160.90355625,1403343150508984960,14945.476992187501,22738.769238281253
proc_V842_Her_Light_007.fits,61160.90355625,1404190014980676224,27064.299140625,34600.173671874996
proc_V842_Her_Light_007.fits,61160.90355625,1404135760954238336,24918.663544921877,32263.387558593757
proc_V842_Her_Light_007.fits,61160.90355625,1423174148386024448,27352.04752929688,34144.52984374999
proc_V842_Her_Light_007.fits,61160.90355625,1399200396854204672,23730.342109375015,30806.570156249996
proc_V842_Her_Light_007.fits,61160.90355625,1424490057646201088,26485.056552734375,32924.15776367187
proc_V842_Her_Light_007.fits,61160.90355625,1402998865931066112,22274.3541796875,31379.944277343755
proc_V842_Her_Light_007.fits,61160.90355625,1400563585114360448,26602.45022460938,33592.36584960938
proc_V842_Her_Light_007.fits,61160.90355625,1423350684426394496,27080.693554687507,33495.73844726563
proc_V842_Her_Light_007.fits,61160.90355625,1403468941511336960,25226.739707031244,34065.87512695311
proc_V842_Her_Light_007.fits,61160.90355625,1403626687070912000,26580.546308593755,34010.590283203135
proc_V842_Her_Light_007.fits,61160.90355625,1399906455117801472,24713.610566406245,33070.606474609376
proc_V842_Her_Light_007.fits,61160.90355625,1403240517970850432,24611.26548828125,32273.810029296874
proc_V842_Her_Light_007.fits,61160.90355625,1400115877723691264,27891.83995117188,35622.73209960938
proc_V842_Her_Light_007.fits,61160.90355625,1423663912096110336,21422.780263671866,29187.889091796867
proc_V842_Her_Light_007.fits,61160.90355625,1399892367625030784,25302.126816406253,32750.508193359365
proc_V842_Her_Light_007.fits,61160.90355625,1399374940029099008,25298.904042968752,31979.759619140626
proc_V842_Her_Light_007.fits,61160.90355625,1424300357530387072,25127.50088867188,33308.44415039063
proc_V842_Her_Light_007.fits,61160.90355625,1399955757046182272,25363.76359375,31483.170878906247
proc_V842_Her_Light_007.fits,61160.90355625,1404459910726446208,22994.36419921876,28984.481679687506
proc_V842_Her_Light_007.fits,61160.90355625,1399943151318356224,22222.469062500004,28066.735654296877
proc_V842_Her_Light_007.fits,61160.90355625,1403340917125940352,23615.373544921877,30655.943076171876
proc_V842_Her_Light_007.fits,61160.90355625,1424497238831543680,19956.549814453127,26573.00412109375
proc_V842_Her_Light_007.fits,61160.90355625,1399378620815968000,25408.595449218752,32127.25458007813
proc_V842_Her_Light_007.fits,61160.90355625,1424534003751678080,25529.736220703122,32901.97737304688
proc_V842_Her_Light_007.fits,61160.90355625,1399991254952109440,23376.02548828125,30429.65551757812
proc_V842_Her_Light_007.fits,61160.90355625,1400106458858663040,21129.5126953125,28422.065800781253
proc_V842_Her_Light_007.fits,61160.90355625,1404430395711111296,21500.017050781247,29063.93985351562
proc_V842_Her_Light_007.fits,61160.90355625,1423670921483849600,17791.3851953125,24197.166933593748
proc_V842_Her_Light_007.fits,61160.90355625,1399443010966705792,20210.953837890625,27350.898496093745
proc_V842_Her_Light_007.fits,61160.90355625,1402937774315908736,23411.003906250007,31382.0783984375
proc_V842_Her_Light_007.fits,61160.90355625,1423476411004475392,25456.987548828125,30426.135273437496
