target_catalog_id,target_vsx_name,catalog_id,inst_mag,sigma_iqr,inv_nv,spike,locus_sigma_iqr,locus_spread,n_frames,thr_inv_nv,FLAG,flag_reason,VYVAR_comp_rms,VYVAR_comp_tier,VYVAR_selected_tier
1400525583243731456,Gaia DR3 1400525583243731456,1400033139473227776,-9.470452403972644,0.0426147814996959,0.6023133880755005,1.0019863432995542,0.04485276237936314,0.007520141672009047,127,0.8029926615183509,False,,0.038602692511603,1,TIER1
1400525583243731456,Gaia DR3 1400525583243731456,1400078253810532096,-9.627817472111845,0.043509261488258004,0.5482780018409147,1.0006307082623271,0.04054529643041062,0.006078796836273103,127,0.8029926615183509,False,,0.0388837737224416,1,TIER1
1400525583243731456,Gaia DR3 1400525583243731456,1400222908308271360,-9.198443258978864,0.051540281654171356,0.44746002876577035,0.9321282876058049,0.05311511702036946,0.009666565574900062,127,0.8029926615183509,False,,0.0378445710444405,1,TIER1
1400525583243731456,Gaia DR3 1400525583243731456,1423635664096317952,-9.552569032862612,0.04988117930459118,0.4988513671952085,0.8741029574990651,0.042605029849082515,0.006768015546572464,127,0.8029926615183509,False,,0.0405505217133511,1,TIER1
1400525583243731456,Gaia DR3 1400525583243731456,1424580625620596992,-9.360750310323015,0.040475299195036216,0.5756175579772094,1.1316593392646939,0.04785557639973125,0.00852492976139268,127,0.8029926615183509,False,,0.04042897669585,1,TIER1
1400549875578714240,V0842 Her,1399451326023390720,-12.518557273197974,0.007052320730209152,0.5679861782581204,1.1057752918570865,0.007298079492013675,0.0009674411673684043,127,0.7228049532621965,False,,0.0079580886087191,1,TIER1
1400549875578714240,V0842 Her,1400240741012505344,-11.05571709402878,0.010953994383128409,0.4938011470186789,1.187207495196986,0.015912069799990686,0.0028472379802177246,127,0.7228049532621965,False,,0.0115811959866456,1,TIER1
1400549875578714240,V0842 Her,1400589767235049472,-12.539238590035675,0.007628072404373526,0.47284411581904995,1.1863683658553341,0.007270146178449432,0.0009783818225744278,127,0.7228049532621965,False,,0.0079203382518624,1,TIER1
1400549875578714240,V0842 Her,1403476981690082304,-11.050594771234524,0.013832368074486637,0.5436082025376463,1.0812520174957752,0.015950626667188588,0.002853341882710714,127,0.7228049532621965,False,,0.0117586537492593,1,TIER1
1400549875578714240,V0842 Her,1424482807741418496,-11.433075185502288,0.01076006457371606,0.5082767259165348,0.9733654008076785,0.012868485735067214,0.002290370876877135,127,0.7228049532621965,False,,0.0122581017378129,1,TIER1
