source_id,ra,dec,phot_g_mean_mag,bp_rp,x,y,blended,nn_bright_px,must_include
1424676871544027520,243.35091325184376,51.6741804433575,10.350036,1.4110365,584.9692430804888,162.65455092295053,False,inf,False
1424396354343687808,243.9575215311638,50.993574529927926,10.366634,0.8199463,435.44057522594164,407.8757952840327,False,inf,False
1400405118000790656,241.17115875262067,49.87999287396816,10.375687,0.79174995,1077.5648648564825,837.2649742007478,False,inf,False
1424682472181707904,243.30754280643626,51.838926385354725,10.388164,1.2507896,597.0338178889481,102.19852270402328,False,inf,False
1424390139526931456,243.6817163245689,50.865934481586116,10.401724,1.1218319,497.3656674277029,457.87569757967583,False,inf,False
1427658025523999488,242.70468297670737,51.76947613716107,10.404665,0.5612297,733.359655199926,132.57420467344411,False,inf,False
1424356638781940608,242.95492398610307,50.49140655035652,10.406483,1.1644182,661.7825220136601,602.6029795115378,False,inf,False
1402910595762821888,238.53710182983832,48.76574860515751,10.418531,0.82500076,1713.7437919100971,1243.7273141282153,False,inf,False
1424445493065918848,245.17182360976707,51.09959801662963,10.424499,0.5543318,156.73106105596457,353.1734947567538,False,inf,False
1400187513481463552,241.30372587766578,49.39841374502881,10.429481,1.2014017,1044.5657726752456,1014.7852952421881,False,inf,False
1404119577517815424,237.1481295760037,50.971590351504524,10.460955,0.7394638,2012.8577406232687,417.2512434707105,False,inf,False
1400298980769110912,242.09736535165342,49.856286229893556,10.524504,0.83091164,857.863017115013,842.6125865574535,False,inf,False
1403815356393317120,239.53532873223236,51.44563221978276,10.538669,0.8365612,1456.8355409747453,258.34538748071594,False,inf,False
1423562069833007360,245.20660744632053,49.84058771447041,10.543399,0.86198235,120.28784169500682,817.0298370354449,False,inf,False
1423583853906680192,244.91540471611404,50.1708448598497,10.55464,0.6024504,196.33450430274308,699.4497443836467,False,inf,False
1404567078749798016,238.8900230636387,51.50160647167198,10.55487,1.2245436,1604.394421198908,235.05151868140518,False,inf,False
1403169152794208768,237.69247965725123,49.44318407103554,10.556852,1.1246576,1908.911550467386,987.0662988526037,False,inf,False
1424414706739915264,244.92085697096002,50.811101907684495,10.563455,0.86068726,208.59129821671172,463.20187626335985,False,inf,False
1400574064834567040,241.449835265006,50.57812050006498,10.585612,1.4951439,1014.296832269122,578.7567292041739,False,inf,False
1399341924616775040,241.8139044598655,48.55988805865997,10.589356,0.7113447,917.5685185469852,1322.7671769630238,False,inf,False
1400107768825819776,242.05796388799357,49.00135251447841,10.589736,0.7616091,861.2227870186495,1158.5161068720267,False,inf,False
1402935025536836224,238.55935023632173,49.110107882488975,10.591393,1.2166681,1704.7966259855111,1116.6027658378334,False,inf,False
1424347327292816128,243.30697290572033,50.44214310629883,10.59949,1.3843203,578.766868385675,617.8387435012444,False,inf,False
1424685049161764736,243.49248213489452,51.95113042978089,10.621132,0.688385,556.5785749592067,59.08174866973502,False,inf,False
1404169364777955840,237.86450619734774,51.053185605250334,10.627793,1.2474918,1845.6055002338476,393.8667763225193,False,inf,False
1423504723428898816,243.96906424655387,49.72012876856391,10.6335535,1.0792274,411.8322851561992,877.6547689273325,False,inf,False
1400097598342825984,241.5275727247044,48.74996878768583,10.643733,0.7475014,988.1352167312059,1253.641077111823,False,inf,False
1400597120219035520,242.53125137899792,50.92435166028122,10.661023,0.5967293,764.9511512109993,445.8017968561294,False,inf,False
1404576871275637760,239.21401678562157,51.757862091202675,10.668914,1.2143497,1528.342361031278,141.83523751311077,False,inf,False
1423159438121916928,244.38936560648938,48.61333274436333,10.6693325,1.4845142,291.38972321946846,1281.2195149587076,False,inf,False
1423368968102824320,245.36614411569857,49.67040089770229,10.673077,1.3381376,78.4712992318872,877.3615165734602,False,inf,False
1403023948540021120,239.37742302519385,49.335006844608934,10.6746645,0.6705923,1506.2447530546965,1037.4197102518706,False,inf,False
1400347290561017472,240.8390628411921,49.195154011718465,10.683113,0.8791466,1155.6186258086436,1090.7560421921191,False,inf,False
1402914650211952640,238.41613494674854,48.84782722000786,10.685575,1.0793743,1742.203451337141,1212.6236185926207,False,inf,False
1423564097057105536,244.94462003613768,49.80995748783726,10.68945,1.1535902,181.77752468681388,832.1597928219269,False,inf,False
1403525154043336192,239.82393740492677,50.47898841925951,10.691756,0.7243271,1394.538057642787,616.1359972882456,False,inf,False
1400271527338499200,242.14206545102874,49.53107891164514,10.705347,0.6382332,844.8528403036019,962.4508514404513,False,inf,False
1399390509286400384,243.36685478575944,48.66452885357887,10.710413,0.67518044,540.803858754778,1273.505737191154,False,inf,False
1399205207217994368,243.73848342949276,48.69152397599548,10.72557,1.03654,450.9140666501431,1259.8561144647078,False,inf,False
1424443019164754048,245.29965956530305,51.078911892873286,10.726052,1.0655403,126.72981512167382,358.89343795888414,False,inf,False
1423586946283290880,245.2820380669855,50.18702911880116,10.733173,1.2223682,110.34290971981886,688.1101203438404,False,inf,False
1403740550947497984,239.44014590172375,50.95045108908425,10.753213,0.76412296,1481.6105830193765,440.9681241657506,False,inf,False
1423282828238647296,245.42899083725737,49.06612496355046,10.753944,0.8465061,49.20611914366384,1099.2954997787388,False,inf,False
1424722192038370944,244.63263499132597,51.73511543288388,10.754586,0.68756104,293.7979653794854,126.13368657343563,False,inf,False
1400136940243265280,241.09791211167283,48.81630223937678,10.754922,0.61183167,1092.527985138552,1230.3032921449258,False,inf,False
1424330559740536704,244.02674243499442,50.656559370488715,10.756154,1.1512232,413.78048376856225,531.4741378966311,False,inf,False
1400228474585943680,242.30563023040597,49.479435768272594,10.758583,1.0543165,805.381010762695,980.606759014251,False,inf,False
1400077081282366592,241.1813161710823,48.53895973950651,10.774923,0.87925625,1071.57917324681,1332.6110240218607,False,inf,False
1404592848553588736,238.92184188766348,51.87016564150018,10.776157,0.62424564,1593.9683330056694,99.01280960234794,False,inf,False
1403122423549881984,239.13812307010198,49.87861339987099,10.790691,0.60133934,1559.6016090462576,835.6941489634067,False,inf,False
1424597397469089536,243.86537691124784,51.40011866134253,10.793759,1.366476,463.24658054777217,258.8182213653929,False,inf,False
1400068907961245568,241.44148912123836,48.51390435229781,10.7943125,0.64549255,1008.0862467718056,1341.1582344583144,False,inf,False
1424628802270020864,242.79868430187472,51.21715993049135,10.801297,0.760849,706.0718815927808,335.8699141437406,False,inf,False
1424514212542314240,244.89692997474384,51.39154724922659,10.803055,1.1540442,226.36090898767134,249.38976052560378,False,inf,False
1400373541401124224,241.0736393463668,49.35586564990261,10.812022,0.68796444,1099.5618353832047,1031.0275222971131,False,inf,False
1424903302219474944,245.64608536234283,51.84865819579675,10.813381,1.2338114,65.73459007643862,69.49938529198982,False,inf,False
1423690089921251584,245.45600744044293,50.9465472364589,10.8148155,0.6116581,87.45285936298103,405.3064505578809,False,inf,False
1424686904587024384,244.0390715285196,51.35349601579366,10.828268,0.8736839,422.6068225852083,274.1412828511579,False,inf,False
1403386787376640128,237.86916334391015,50.492673094134915,10.834439,0.5797396,1852.2132940024644,600.9366115136363,False,inf,False
1427683554809600896,243.12627313052658,51.919439300661026,10.841,1.0412016,639.2259178043684,73.99994378840313,False,inf,False
1423536059510326528,244.68880088428716,50.051852765308176,10.853202,1.2454386,247.3313554694281,746.4518096024187,False,inf,False
1400094505966392704,241.85484753990386,48.69906385204499,10.855066,0.6508131,908.4322293683177,1271.1598113352993,False,inf,False
1424832177561040256,245.66259441972323,51.440427089701835,10.856594,0.8280258,51.844175997940056,219.8443873291663,False,inf,False
1423516852416948224,243.73808044089188,49.76748364160656,10.859157,0.7042742,467.478432808365,862.6604821402975,False,inf,False
1403352358918805248,238.72064639848338,50.50677029655642,10.859255,0.69463444,1652.6579674559684,601.6371788902372,False,inf,False
1403309993361336448,238.63994013609846,50.159018937609886,10.859272,1.0982609,1674.9923124247425,729.6134573198387,False,inf,False
1404060753645275648,237.319252457286,50.62358638162319,10.860077,1.21667,1978.8893950693946,547.5487776433813,False,inf,False
1424429069110587008,244.61014843375486,50.95554876356116,10.86198,0.5330591,283.6273000235875,414.1044412191298,False,inf,False
1424759880375940480,243.99300274414472,51.86866568235372,10.865173,0.76477337,441.7234135766364,84.46356363644418,False,inf,False
1424356432623507328,243.00752291617545,50.45961273230286,10.867745,0.80974674,649.1045328394832,613.9228124284326,False,inf,False
1400175388790551296,241.5911018228944,49.25805288449671,10.875006,0.77495193,975.107223686887,1065.7281897808944,False,inf,False
1403508627009166464,239.94564250846025,50.32514966528917,10.887373,0.92619705,1366.5695693881692,673.1811694512226,False,inf,False
1423659926367546496,245.1463159680632,50.674785199929225,10.894403,1.7646818,153.1627414677256,510.24692770939953,False,inf,False
1427681768103141632,242.81681472641367,51.79066504989252,10.909742,0.81428146,708.0601427084639,123.95501954584574,False,inf,False
1403392525452934656,238.27964095200085,50.60124898005241,10.910996,0.7713232,1754.8014252836992,563.9694156400758,False,inf,False
1403343150508984960,239.09826705193237,50.480189775368125,10.914611,2.0039635,1564.4660627929352,613.3387608061303,False,inf,False
1404190014980676224,238.62087797616627,51.3667451587658,10.917032,0.60345364,1667.4226192285446,283.40236658166594,False,inf,False
1404135760954238336,237.0716979291021,51.07996054015691,10.918191,0.88408566,2028.6710216029555,376.40559714655825,False,inf,False
1423174148386024448,244.83902223131568,48.637808028272254,10.924516,0.79372597,182.51483969893002,1266.198407570948,False,inf,False
1399200396854204672,243.28201567405674,48.545903729038265,10.92947,1.1274271,559.8704807395644,1318.1030282880665,False,inf,False
1424490057646201088,244.74731696256524,51.297006749329725,10.9373,0.6760235,258.77957039151295,286.3094366733421,False,inf,False
1402998865931066112,237.89153140998988,49.232590398441616,10.937686,1.277297,1864.1132782769441,1066.5704151132622,False,inf,False
1400563585114360448,241.65120535008847,50.4856401336025,10.938866,0.6752081,966.800236137363,612.2253572263033,False,inf,False
1423350684426394496,245.3324850744952,49.48131158099297,10.940747,0.7798071,82.09820446944968,947.6336437702627,False,inf,False
1403468941511336960,240.23683141036196,50.40758658148816,10.942292,0.7473717,1298.0050601893497,643.0995236571846,False,inf,False
1403626687070912000,242.08152223741402,51.33326057074867,10.942441,0.7136698,872.1265734574871,297.38162859974375,False,inf,False
1399906455117801472,238.60869795082635,48.63590924806617,10.947134,1.0397453,1697.671147588323,1292.1527383138036,False,inf,False
1403240517970850432,237.28919240170868,49.84952966532251,10.956445,0.935359,1998.7518299600151,833.1346757344386,False,inf,False
1400115877723691264,241.49449155360813,49.0091278106472,10.960781,0.58749676,997.2537172240542,1158.0062841150025,False,inf,False
1423663912096110336,245.12781156722946,50.77340875486172,10.962918,1.3425264,159.66235643007144,474.141674588874,False,inf,False
1399892367625030784,239.15927919322394,48.534145846465215,10.963642,0.85749626,1564.4368306009633,1332.5438302094763,False,inf,False
1399374940029099008,242.5090611012146,48.47486933140904,10.999986,0.7920103,747.49346043432,1350.3869797279476,False,inf,False
1424300357530387072,244.01442206140769,50.23106878253971,11.012993,0.7585964,409.5622837673192,688.6115352617594,False,inf,False
1399955757046182272,239.9281233429229,48.69968064048198,11.0144005,0.7181635,1376.415059602833,1273.602141072583,False,inf,False
1404459910726446208,237.64571034581732,51.84139220752828,11.021348,0.74803543,1884.5672464498534,100.75352098963651,False,inf,False
1399943151318356224,239.67950307529458,48.63258694798252,11.025291,1.1409369,1437.137193195368,1297.880902437425,False,inf,False
1403340917125940352,239.29744145958352,50.473242675588956,11.030602,0.8059006,1517.8670704292676,616.7165012098284,False,inf,False
1424497238831543680,244.21981976054605,51.26675312845301,11.03258,1.2569065,379.55573231916867,304.0910456725249,False,inf,False
1399378620815968000,242.62581819805416,48.66432016912482,11.033173,0.6822643,720.8704922558073,1279.6009238502606,False,inf,False
1424534003751678080,244.92523960655032,51.68044747703982,11.038181,0.8791218,225.9824878340503,142.38620238462215,False,inf,False
1399991254952109440,239.22329738684593,48.72398869108798,11.038278,0.91537285,1547.4961893858404,1262.6278417842086,False,inf,False
1400106458858663040,241.84633514173498,48.94989162534715,11.041542,1.1096182,911.9932491819011,1178.5315582780709,False,inf,False
1404430395711111296,237.5313462769742,51.56465244946417,11.0578375,0.93591595,1914.8547834125986,201.97231526977043,False,inf,False
1423670921483849600,245.34510307136048,50.67033430188502,11.06245,1.4842787,106.72925489965655,508.8985053295162,False,inf,False
1399443010966705792,242.45929285977545,48.83905303384397,11.064187,1.2301073,762.9066850133814,1216.1623856561982,False,inf,False
1402937774315908736,238.45057010400382,49.10243206182771,11.074141,0.7764511,1731.0991375780468,1118.7583593843437,False,inf,False
1423476411004475392,244.21064498928325,49.6419593166129,11.076175,0.5032759,353.01208161931254,903.7219485019841,False,inf,False
1403208735212895744,237.88774938561244,49.73707457884874,11.092915,0.6857271,1858.1505538272422,880.1701670531542,False,inf,False
1424439136513927424,244.85750389400167,51.21927796850649,11.12222,0.6583605,231.81922425382152,313.49592891331537,False,inf,False
1400462361324964096,240.67503806496634,49.9783761641228,11.125589,0.7841711,1195.1875350066432,801.6365463291872,False,inf,False
1424264893984409344,243.3191333567651,49.80860373424161,11.131642,0.6177492,567.538644210524,851.5498622515108,False,inf,False
1400112510469312128,241.7504709472506,48.9533557515894,11.136841,1.3585424,935.1740410159581,1177.6609657387696,False,inf,False
1403011991350810752,238.32342999208745,49.69357520505257,11.14049,1.056222,1754.9728838918465,899.5219616370048,False,inf,False
1402943512392156800,237.63007834096607,48.67778895249943,11.141879,1.0632219,1935.26190110549,1269.3452437881747,False,inf,False
1399493038745847296,243.30432607795177,49.61566003488639,11.150959,1.2293568,568.5146778593535,922.8995525350854,False,inf,False
1423369346059948288,245.37718173187662,49.71200233164832,11.155233,0.8673487,76.8178630038775,861.8448929661557,False,inf,False
1403751000603233280,240.0200333858462,50.90438752122472,11.160497,0.7835951,1347.316428505457,459.3770572696774,False,inf,False
1399905561764598784,238.68607833890675,48.63002784347645,11.165847,0.6114044,1678.8963330012568,1294.7751669561317,False,inf,False
1403345280812717440,239.1977220025167,50.55760271498216,11.174733,0.80853367,1540.6217329087144,585.168834532183,False,inf,False
1400522593946506496,242.39494751656798,50.45374058574699,11.184953,1.2340813,792.47528506326,620.384937665786,False,inf,False
1403025254209708672,239.1192239565709,49.23613383326002,11.186037,0.64912796,1568.9185342666347,1072.9442596436484,False,inf,False
1427672078656948096,242.44585927691625,51.79799900230367,11.195776,1.2940693,792.537643774206,123.71759608420894,False,inf,False
1399993797572747392,239.33814387723274,48.852987398517534,11.2086315,1.3984756,1518.771635640685,1215.384269178007,False,inf,False
1404241932545422208,237.69332845702618,51.5327768727628,11.217367,1.0886717,1878.233269777541,215.22164279720477,False,inf,False
1400249945127051648,243.21002359426913,49.869754744242606,11.218671,0.6598301,594.2103977958482,829.9461116612076,False,inf,False
1403048275234807552,239.5433671450672,49.45151654910248,11.219652,2.0621367,1465.8130445646195,994.9124762832515,False,inf,False
1424613202948824320,243.76525629200282,51.50729357721896,11.219943,0.6239977,487.87547449306015,220.29754923130315,False,inf,False
1411167000374445824,245.38034438237742,48.65437659554448,11.223354,1.1410713,51.280059961301504,1252.0190033620806,False,inf,False
1399751011661527040,240.7123246945415,48.476274677293624,11.223679,0.82037544,1185.839809040613,1356.518946858369,False,inf,False
1403832295744299776,240.15845278850213,51.57006109487582,11.225293,1.3353748,1313.6094074564132,213.6538112751365,False,inf,False
1427685753832960256,243.3416328334714,51.92294040180762,11.231202,0.7601862,590.4065760480728,70.86796167141324,False,inf,False
1399424628507090944,242.41122978786757,48.62334656612864,11.234255,0.70049953,772.657676854263,1296.1536010351006,False,inf,False
1399373054539345280,242.7167316695149,48.497948263072495,11.239477,0.7728987,697.0714921323545,1340.4242469784404,False,inf,False
1400194007472014336,241.43624655755477,49.474410137872916,11.244767,0.6127825,1013.1373654049179,986.3388532689735,False,inf,False
1403181694098728704,237.49181993041725,49.46097436936273,11.249513,0.5914984,1956.686946610342,978.652878890897,False,inf,False
1423562649652275456,245.26883445793365,49.90213495449565,11.252583,1.1351423,106.9357238459753,793.386791760475,False,inf,False
1400220365687618048,241.96409443370774,49.28279154148608,11.261926,1.3347874,885.717576052965,1055.0337360485862,False,inf,False
1404609890983857024,239.57861385162582,52.024285455200015,11.268326,0.82389927,1443.8653235567444,44.633204713575765,False,inf,False
1424640622020039552,242.51639591181225,51.341966845212035,11.273496,1.1823273,772.2636270714584,291.70473205476674,False,inf,False
1403739627529865216,239.23752113862218,50.9015511434166,11.274101,0.48707676,1528.9297956882729,458.29242110435376,False,inf,False
1423688891626995712,245.2594179359821,50.88889029470365,11.277986,0.6181431,131.69025271398243,429.5916814725898,False,inf,False
1400341926146484864,240.71910458880785,49.15097096328967,11.281997,0.71832085,1184.4447107300894,1107.1976107778637,False,inf,False
1403451796001873280,240.41145076084237,50.27515108931648,11.2829,1.1863728,1257.2112839861875,692.0949237013992,False,inf,False
1400039697887005568,239.6959122877602,49.21837392931598,11.318186,0.7799921,1430.4065115088765,1081.4535957606845,False,inf,False
1403042498502302208,239.2590185535783,49.5737826360937,11.322687,1.0348349,1533.0119838227276,948.7793530809472,False,inf,False
1411160776965621760,245.0869258152096,48.518247549542956,11.323698,0.9496279,119.60848079806044,1306.763173779602,False,inf,False
1399408513789404544,243.3771906736826,48.91005265286883,11.327707,0.80698776,541.612720046295,1182.7332769056502,False,inf,False
1403426919551111936,238.67290005032044,50.981459067422115,11.335389,0.7844734,1659.2156909182927,426.03694727713275,False,inf,False
1427645587298659200,242.24378072036822,51.388278421639995,11.33929,1.5590372,835.2709642553707,276.21491967220385,False,inf,False
1400435487713267072,240.53587794630175,49.79689045333891,11.3418865,0.7956114,1228.2049071889821,868.715282493462,False,inf,False
1424338737358227712,243.12193568422532,50.27054269585411,11.342387,0.6157522,620.0012827744697,682.7716738825147,False,inf,False
1403108336057511424,238.5955113322956,49.83712322954829,11.350396,1.2239227,1688.725794981004,848.2431341323535,False,inf,False
1402952926960836608,237.95599422796002,48.861763048024365,11.352278,1.0712423,1853.538672681671,1204.1257621597035,False,inf,False
1404185685653637376,238.67717601642156,51.276147744400404,11.357408,0.7631664,1655.3626302259681,317.2009901010136,False,inf,False
1403170488527945216,237.16925325082602,49.154832013486825,11.379833,0.81215477,2039.175737033121,1088.5302480149114,False,inf,False
1400430849149376896,240.0759484111618,49.675017380968825,11.382765,0.96136,1337.776685741359,913.4797680046618,False,inf,False
1400400685594512896,241.21803311320014,49.76530384546463,11.391095,0.7978821,1066.1271123441484,879.5089249665898,False,inf,False
1404181729987529600,238.36640238650213,51.221394728254175,11.396196,1.3193264,1727.5518531693915,335.4949028884025,False,inf,False
1424602757588299520,243.36774204996854,51.25253202217945,11.396455,0.70437527,575.4494546844417,318.1796458289678,False,inf,False
1403360639615777408,238.89119270048056,50.64366144917046,11.402255,1.1609097,1611.5502262519585,551.9847855347241,False,inf,False
1400530565405803136,242.61893725027124,50.56411959095288,11.4050665,0.8534241,741.103600155583,578.2073542993021,False,inf,False
1424604372496000128,243.43364606037568,51.28819930179198,11.405232,0.67823887,560.7704884723856,304.4108244829082,False,inf,False
1399974689262018176,239.8270014788486,48.94649397348651,11.407271,1.124052,1399.9884872718876,1182.2023854542074,False,inf,False
1399977609839792512,240.17905043077917,48.97515551507773,11.418184,1.5537729,1314.8263619676984,1172.1281461961546,False,inf,False
1400132232959092352,240.81720282359663,48.74063639650788,11.424045,0.90685177,1160.4796897527995,1258.7101118276198,False,inf,False
1424443740718913536,245.10227894653156,50.97845847151788,11.425867,0.62391853,170.12173793896795,398.87838478039015,False,inf,False
1403686468718694144,241.37578684725827,51.47337812664978,11.43868,0.6427307,1034.8413400651925,248.35621204673652,False,inf,False
1400091344870496384,241.3839493702438,48.869443973481864,11.443231,1.0186272,1023.4183602578023,1209.9552230462946,False,inf,False
1403057621083269888,239.72361908507767,49.64565884559656,11.443461,1.0508032,1421.8077305215634,923.6807172502968,False,inf,False
1403493573147504896,240.41817154121608,50.570923225638644,11.446936,1.3382568,1255.3048779315923,582.8712775929321,False,inf,False
1424518541869422208,245.22156277268743,51.47052720095467,11.450035,0.7266903,153.64275772917802,215.59370371780454,False,inf,False
1403164411150305664,237.73501157539033,49.30394940215491,11.458797,1.2694387,1900.7290674374854,1038.8797305916744,False,inf,False
1400163019283469824,241.42891557587754,49.02858499167126,11.47065,0.8408241,1013.154904396455,1151.0276520024831,False,inf,False
1423499157151237504,243.9614302501395,49.62174501675817,11.486561,0.8262682,412.0335112628658,914.0466757581826,False,inf,False
1401458931176968064,237.27089721509313,48.76040673440337,11.500514,1.2967701,2021.2668427309573,1235.3468895826322,False,inf,False
1423471944238483456,244.3266056945469,49.557568312635546,11.505151,0.8038225,323.8578158456272,933.4620151262815,False,inf,False
1403838721015384320,240.1339249351209,51.7962522064062,11.508641,0.76526546,1318.6525135489496,130.04594215599218,False,inf,False
1403205574116883840,237.674983874799,49.532985771376396,11.516737,0.8825884,1911.7831471728118,953.7361753563033,False,inf,False
1403067581111308032,239.53119218464306,49.681534786243574,11.52449,1.0917597,1467.463783083711,909.9116389257958,False,inf,False
1403443064332829440,240.30290590454692,49.924735385824555,11.528321,0.75906944,1283.319379082747,821.4590332208254,False,inf,False
1400157934043863808,240.93802506702423,49.08924853635014,11.540136,1.243001,1131.6692182827144,1129.7450573600895,False,inf,False
1400038357857223808,240.06934430928032,49.44644046994886,11.541855,1.2405205,1339.9953577196986,997.8993073484287,False,inf,False
1404256982110853120,238.18560003005135,51.58776459478405,11.545456,0.83347607,1764.7937912918883,198.86844686364475,False,inf,False
1400451194409951744,240.99801196514585,50.02536258115848,11.5458555,1.2357826,1118.8643742879926,783.9188289862499,False,inf,False
1423539873441307392,244.4871140696965,50.180549882289,11.550669,1.0837994,297.4026895843599,701.6020850731765,False,inf,False
1423199780750846080,245.17674306059183,49.01584279984874,11.559815,0.8237133,108.878781101958,1121.7495236863722,False,inf,False
1399474450127371264,243.46644142452405,49.39706732026262,11.566074,0.6688328,526.8330676060434,1002.0839710707846,False,inf,False
1399401951079371776,243.60597872066975,48.92116049683011,11.57309,1.137434,486.4594764096534,1176.4169016012424,False,inf,False
1424502873828631040,244.49696770981953,51.39217733348148,11.573862,0.72878265,318.16744571544143,254.43746813489537,False,inf,False
1424335060866218880,243.08794147342462,50.184707730186,11.574702,1.2968588,626.9545303604111,714.7346353067151,False,inf,False
1402898015802901888,237.95704799375224,48.58032059423819,11.601693,0.67243004,1857.0227322090698,1308.166038851823,False,inf,False
1403348441908630144,238.78705491022657,50.46827782906056,11.6068945,0.730155,1637.4648791912002,616.2180323126183,False,inf,False
1399961529482237824,240.3231949399823,48.872322993552466,11.607617,0.24520683,1280.1685398904053,1210.2224491025713,False,inf,False
1403159222829950976,237.24982873006496,49.176046392258044,11.612618,0.8509445,2019.4051178649024,1081.5297627848754,False,inf,False
1400252217165140480,242.710180775297,49.69774276374632,11.621581,1.2575512,710.934643270728,897.3878970757498,False,inf,False
