frame,mjd,source_id,psf_flux
proc_V842_Her_Light_001.fits,61160.8951534838,1403751000603233280,30584.627378173416
proc_V842_Her_Light_001.fits,61160.8951534838,1411167000374445824,21634.52092581804
proc_V842_Her_Light_001.fits,61160.8951534838,1423256676181477120,28358.7299849406
proc_V842_Her_Light_001.fits,61160.8951534838,1423231941466046976,19048.71208811871
proc_V842_Her_Light_001.fits,61160.8951534838,1403452173958950656,9442.172669914129
proc_V842_Her_Light_001.fits,61160.8951534838,1400587701354270976,13769.327019690983
proc_V842_Her_Light_001.fits,61160.8951534838,1424765721531460864,11231.546055024814
proc_V842_Her_Light_001.fits,61160.8951534838,1427719254577749248,16909.190805979364
proc_V842_Her_Light_001.fits,61160.8951534838,1423444830108781184,9843.3536638057
proc_V842_Her_Light_001.fits,61160.8951534838,1400155490205311104,4468.645302434405
proc_V842_Her_Light_001.fits,61160.8951534838,1424572173124957696,11428.848183930852
proc_V842_Her_Light_001.fits,61160.8951534838,1424618764930181632,11258.582739081961
proc_V842_Her_Light_001.fits,61160.8951534838,1403342600753123072,5689.986786779133
proc_V842_Her_Light_001.fits,61160.8951534838,1403429015495148160,5637.059745118798
proc_V842_Her_Light_001.fits,61160.8951534838,1423167512660430336,4606.376914234378
proc_V842_Her_Light_001.fits,61160.8951534838,1399332029012118272,3569.2535908278455
proc_V842_Her_Light_001.fits,61160.8951534838,1403062671964809728,3375.793942088554
proc_V842_Her_Light_001.fits,61160.8951534838,1399335121388946944,7717.402585041256
proc_V842_Her_Light_001.fits,61160.8951534838,1423267744313404416,5430.778430592722
proc_V842_Her_Light_001.fits,61160.8951534838,1403113730536432640,250791.1974039343
proc_V842_Her_Light_001.fits,61160.8951534838,1400264548015506176,143142.5455643065
proc_V842_Her_Light_001.fits,61160.8951534838,1423509087115649792,192366.69555456415
proc_V842_Her_Light_001.fits,61160.8951534838,1403410942272748288,153424.1980320751
proc_V842_Her_Light_001.fits,61160.8951534838,1423532039421321728,135290.12239966445
proc_V842_Her_Light_001.fits,61160.8951534838,1424370245238714368,55205.62096111897
proc_V842_Her_Light_001.fits,61160.8951534838,1423181432650561280,42175.821550012646
proc_V842_Her_Light_001.fits,61160.8951534838,1424832177561040256,7168.949002329472
proc_V842_Her_Light_001.fits,61160.8951534838,1403626687070912000,40872.39578782274
proc_V842_Her_Light_001.fits,61160.8951534838,1400220365687618048,18948.252209912072
proc_V842_Her_Light_001.fits,61160.8951534838,1403108336057511424,8872.508466312607
proc_V842_Her_Light_001.fits,61160.8951534838,1423456104399005696,17419.153059452598
proc_V842_Her_Light_001.fits,61160.8951534838,1399931881324155648,1988.7865185770916
proc_V842_Her_Light_001.fits,61160.8951534838,1399471971930228224,20667.083456675697
proc_V842_Her_Light_001.fits,61160.8951534838,1403647745293564160,13957.631412402643
proc_V842_Her_Light_001.fits,61160.8951534838,1403486087020744192,20773.59415679859
proc_V842_Her_Light_001.fits,61160.8951534838,1403825007183796736,17197.607375265525
proc_V842_Her_Light_001.fits,61160.8951534838,1400484003663839488,13668.180843912
proc_V842_Her_Light_001.fits,61160.8951534838,1400334023406490624,6499.020088069332
proc_V842_Her_Light_001.fits,61160.8951534838,1424342306475225600,8951.643798964797
proc_V842_Her_Light_001.fits,61160.8951534838,1399473689916868608,15675.876980483148
proc_V842_Her_Light_001.fits,61160.8951534838,1400208545937623040,3746.906002603551
proc_V842_Her_Light_001.fits,61160.8951534838,1402944027788226560,631.2474315775298
proc_V842_Her_Light_001.fits,61160.8951534838,1423520318454340864,6830.519511535207
proc_V842_Her_Light_001.fits,61160.8951534838,1404643971548728576,6582.656283573107
proc_V842_Her_Light_001.fits,61160.8951534838,1402971756097187328,-38.18051052050267
proc_V842_Her_Light_001.fits,61160.8951534838,1424541219296717824,206862.50373083347
proc_V842_Her_Light_001.fits,61160.8951534838,1403368267477646976,2199.7635036251722
proc_V842_Her_Light_001.fits,61160.8951534838,1424699510316137472,8555.761415594283
proc_V842_Her_Light_001.fits,61160.8951534838,1403835074587136000,93258.16567382163
proc_V842_Her_Light_001.fits,61160.8951534838,1403464474745338624,131137.5977895049
proc_V842_Her_Light_001.fits,61160.8951534838,1404278319508397824,130543.50581080464
proc_V842_Her_Light_001.fits,61160.8951534838,1402914650211952640,1993.3044851862708
proc_V842_Her_Light_001.fits,61160.8951534838,1400271527338499200,53329.354836288985
proc_V842_Her_Light_001.fits,61160.8951534838,1424604750453125632,53398.496366313775
proc_V842_Her_Light_001.fits,61160.8951534838,1399477022811768832,43604.07363031954
proc_V842_Her_Light_001.fits,61160.8951534838,1423539873441307392,24888.19265223439
